id_batiment	id_salle	num_salle	capacite_salle	possede_tableau	possede_retro
1	1	1	151	0	1
1	2	2	275	1	0
1	3	3	113	1	0
1	4	4	215	0	1
1	5	5	147	1	1
1	6	6	59	0	1
1	7	7	62	1	1
1	8	8	51	0	0
1	9	9	206	0	0
1	10	10	75	0	0
1	11	11	104	0	1
1	12	12	154	0	0
1	13	13	250	1	1
1	14	14	209	1	1
1	15	15	194	1	0
1	16	16	64	1	0
1	17	17	233	1	1
1	18	18	230	1	1
1	19	19	190	0	0
1	20	20	235	0	0
1	21	21	107	0	0
1	22	22	92	1	0
1	23	23	124	1	0
1	24	24	245	0	1
1	25	25	290	0	0
1	26	26	91	0	0
1	27	27	178	1	0
1	28	28	291	0	1
1	29	29	163	1	1
2	30	30	227	0	0
2	31	31	296	0	0
2	32	32	289	1	0
2	33	33	57	0	0
2	34	34	227	1	0
2	35	35	146	1	0
2	36	36	202	1	1
2	37	37	117	1	0
2	38	38	295	0	0
2	39	39	67	1	0
2	40	40	33	0	0
2	41	41	231	0	0
2	42	42	299	1	0
2	43	43	90	0	1
2	44	44	175	1	1
2	45	45	294	1	0
2	46	46	195	1	0
2	47	47	191	1	1
2	48	48	36	0	0
2	49	49	151	0	0
2	50	50	220	1	1
2	51	51	207	0	0
2	52	52	160	0	1
2	53	53	75	0	0
2	54	54	210	1	0
2	55	55	293	1	0
2	56	56	137	0	0
2	57	57	131	0	0
2	58	58	83	1	1
3	59	59	34	0	1
3	60	60	121	1	1
3	61	61	271	0	0
3	62	62	117	1	0
3	63	63	207	0	0
3	64	64	187	1	0
3	65	65	130	1	0
3	66	66	274	0	1
3	67	67	112	1	1
3	68	68	138	1	1
3	69	69	261	0	0
3	70	70	82	0	1
3	71	71	56	1	1
3	72	72	105	1	0
3	73	73	39	1	0
3	74	74	173	0	0
3	75	75	220	1	0
3	76	76	252	0	0
3	77	77	70	0	1
3	78	78	86	1	1
3	79	79	179	1	1
3	80	80	78	1	1
3	81	81	230	0	1
3	82	82	53	0	0
3	83	83	164	1	1
3	84	84	163	1	1
3	85	85	187	1	1
3	86	86	196	0	0
3	87	87	175	0	1
4	88	88	210	0	1
4	89	89	188	0	1
4	90	90	142	0	0
4	91	91	174	0	1
4	92	92	247	0	0
4	93	93	106	0	1
4	94	94	66	0	0
4	95	95	40	1	1
4	96	96	60	0	1
4	97	97	296	1	0
4	98	98	95	0	1
4	99	99	60	0	0
4	100	100	39	1	1
4	101	101	244	0	0
4	102	102	65	0	1
4	103	103	277	1	0
4	104	104	155	1	1
4	105	105	100	0	0
4	106	106	203	0	1
4	107	107	177	1	1
4	108	108	93	1	0
4	109	109	274	1	0
4	110	110	286	1	1
4	111	111	137	1	0
4	112	112	135	1	0
4	113	113	33	1	0
4	114	114	57	0	1
4	115	115	38	0	0
4	116	116	190	1	1
5	117	117	299	1	0
5	118	118	169	1	0
